公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
深圳点猫科技有限公司,编程猫,500-2000人,B轮,南山区,Python工程师,0.0,本科,15k-30k,"有餐补,二次元,福利棒,不打卡",[],"['15', '30']",18.75
深圳市微课科技有限公司,荔枝微课,50-150人,A轮,南山区,Python,2.0,本科,9k-15k,"晋升空间大,零食无限量,工作氛围好,年轻团队","['1', '3']","['9', '15']",10.5
深圳市猎芯科技有限公司,猎芯科技,150-500人,B轮,龙岗区,Python工程师,2.0,大专,10k-20k,发展空间大,"['1', '3']","['10', '20']",12.5
岩心科技（深圳）有限公司,AKULAKU,500-2000人,C轮,南山区,高级Python工程师/面向对象高级Python工,4.0,本科,15k-30k,"数据建模,机器学习,专注专业","['3', '5']","['15', '30']",18.75
深圳十金互娱科技有限公司,十金,150-500人,不需要融资,南山区,python后台工程师,2.0,本科,15k-30k,"谷歌文化,纯研发盈利,API过亿,IDG直投","['1', '3']","['15', '30']",18.75
行云智能（深圳）技术有限公司,行云智能,15-50人,天使轮,南山区,Python开发工程师,2.0,本科,10k-20k,"扁平化管理,周末双休,年终奖,发展空间大","['1', '3']","['10', '20']",12.5
酷宝信息技术（上海）有限公司,5173.com中国网络游戏服务网,2000人以上,上市公司,南山区,Python开发工程师,4.0,大专,15k-25k,"节日福利,弹性时间,工作氛围好,带薪年假","['3', '5']","['15', '25']",17.5
北京瑞友科技股份有限公司,北京瑞友,2000人以上,上市公司,南山区,Python开发工程师,2.0,本科,10k-14k,"周末双休,车补饭补,员工聚餐","['1', '3']","['10', '14']",11.0
万兴科技股份有限公司,万兴科技股份有限公司,150-500人,上市公司,南山区,Python开发工程师,4.0,本科,15k-20k,"在线高并发,技术难度大,运维要求高","['3', '5']","['15', '20']",16.25
武汉微思敦网络技术有限公司,微思敦,50-150人,不需要融资,南山区,python开发工程师,2.0,本科,10k-20k,"五险一金,带薪年假,海外游学,每日下午茶","['1', '3']","['10', '20']",12.5
深圳贝尔信息科技有限公司,Using.ai,少于15人,不需要融资,南山区,Python工程师（人工智能方向）,0.0,本科,8k-16k,"高成长,人工智能",[],"['8', '16']",10.0
试金石信用服务有限公司,试金石信用,50-150人,不需要融资,南山区,Python开发岗,4.0,本科,10k-20k,"福利好,大牛多","['3', '5']","['10', '20']",12.5
深圳市众鑫通达科技有限公司,众鑫通达,15-50人,天使轮,南山区,高级python开发,4.0,本科,20k-30k,区块链，openerp，,"['3', '5']","['20', '30']",22.5
亿达信息技术（深圳）有限公司,YIDATEC,2000人以上,不需要融资,南山区,python开发工程师,4.0,大专,13k-15k,开发,"['3', '5']","['13', '15']",13.5
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,python开发,2.0,大专,8k-11k,"五险一金,免费早餐,上下班车,年终奖","['1', '3']","['8', '11']",8.75
深圳回收宝科技有限公司,回收宝,500-2000人,C轮,南山区,Python开发工程师,4.0,本科,15k-22k,"腾讯系团队,大牛导师多,发展前景广,薪资待遇好","['3', '5']","['15', '22']",16.75
北京瑞友科技股份有限公司,北京瑞友,2000人以上,上市公司,南山区,Python开发工程师-Z,4.0,本科,10k-16k,"周末双休,五险一金,员工聚餐,车补饭补","['3', '5']","['10', '16']",11.5
深圳市新悦联众科技有限公司,新悦联众,50-150人,不需要融资,南山区,Python工程师,2.0,本科,12k-15k,"周末双休,五险一金,弹性工作,带薪年假","['1', '3']","['12', '15']",12.75
深圳市途灵国际旅行社有限公司,途灵旅行,50-150人,不需要融资,龙岗区,python工程师,2.0,本科,8k-16k,"带薪年假,地铁附近,年底双薪,五险一金","['1', '3']","['8', '16']",10.0
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,福田区,高级Python开发工程师,2.0,本科,15k-23k,"大牛多,公司氛围好,周末双休,成长快","['1', '3']","['15', '23']",17.0
深圳丝路天地电子商务有限公司,丝路天地,50-150人,A轮,南山区,Python开发工程师,2.0,本科,10k-20k,"五险一金,周末双休,弹性工作","['1', '3']","['10', '20']",12.5
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,福田区,Python开发工程师（深圳）,4.0,本科,15k-30k,世界500强，丰厚奖金,"['3', '5']","['15', '30']",18.75
深圳市微课科技有限公司,荔枝微课,50-150人,A轮,南山区,Python工程师,2.0,本科,10k-20k,"五险一金,带薪年假","['1', '3']","['10', '20']",12.5
广州维朗网络科技有限公司,维朗,50-150人,不需要融资,福田区,Python开发工程师,2.0,大专,10k-15k,"周末双休,节日福利,员工旅游,五险","['1', '3']","['10', '15']",11.25
深圳市埃提思科技开发有限公司,ITS,15-50人,天使轮,南山区,Python,2.0,大专,8k-15k,项目奖励、团队奖励、广阔的发展空间,"['1', '3']","['8', '15']",9.75
浪潮通用软件有限公司深圳研发中心,浪潮企业云深圳研发中心,2000人以上,上市公司,南山区,python开发工程师,2.0,本科,11k-18k,"成长机会,高手如云,环境好,氛围轻松","['1', '3']","['11', '18']",12.75
深圳市安络科技有限公司,深圳市安络科技有限公司,150-500人,未融资,南山区,Python开发工程师,4.0,大专,10k-20k,"五险一金,员工旅游,带薪年假,法定节假","['3', '5']","['10', '20']",12.5
深圳市启晟互联网科技有限公司,启晟,150-500人,未融资,龙华新区,python开发工程师,2.0,本科,10k-20k,ai,"['1', '3']","['10', '20']",12.5
深圳市华云中盛科技有限公司,华云中盛,150-500人,不需要融资,南山区,python开发工程师,4.0,大专,12k-20k,"五险一金,年度体检,年度旅游,年终福利","['3', '5']","['12', '20']",14.0
