公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
北京势在必行网络科技有限公司,币信,50-150人,不需要融资,海淀区,Python server端工程师,2.0,本科,20k-40k,"扁平化管理,午晚餐丰盛,团队氛围好","['1', '3']","['20', '40']",25.0
湖北橙家装饰工程有限公司,橙家装饰,50-150人,天使轮,海淀区,Python后端开发工程师,4.0,本科,20k-40k,"行业前沿,AI赋能,人工智能","['3', '5']","['20', '40']",25.0
深圳前海川谷信息技术有限公司,川谷金融科技,15-50人,天使轮,朝阳区,python算法工程师,2.0,本科,10k-20k,五险一金 优秀团队 带薪年假,"['1', '3']","['10', '20']",12.5
上海秘塔网络科技有限公司,秘塔科技,15-50人,天使轮,朝阳区,中高级 Python 工程师,2.0,本科,18k-30k,"大牛导师,专注技术,福利优厚","['1', '3']","['18', '30']",21.0
博飞信息科技（上海）有限公司,博飞,15-50人,天使轮,朝阳区,金融云平台Python开发工程师,4.0,本科,10K-20K,"弹性工作制,年底分红,期权奖励","['3', '5']","['10', '20']",12.5
联通大数据有限公司,联通大数据,50-150人,不需要融资,东城区,Python运维开发工程师,4.0,本科,15k-25k,"锻炼思维,能力提升,地铁站旁,扁平化管理","['3', '5']","['15', '25']",17.5
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,朝阳区,研发专家-Java/Python/C++/Go北京,4.0,本科,25k-50k,"顶尖的团队,核心事业群,发展前景广","['3', '5']","['25', '50']",31.25
北京创源微致软件有限公司,创源微致,500-2000人,不需要融资,海淀区,python后端开发工程师,7.5,本科,20k-40k,"发展前景,丰厚年终奖,五险一金,良好氛围","['5', '10']","['20', '40']",25.0
北京阿丘科技有限公司,阿丘科技,50-150人,A轮,海淀区,后台开发工程师（Python）,0.0,本科,15k-30k,"大牛多,技术氛围好,福利好,前景广阔",[],"['15', '30']",18.75
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python 数据开发工程师,4.0,本科,20k-40k,"六险一金,补充医疗,年底三薪,午餐自助","['3', '5']","['20', '40']",25.0
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,后端开发专家（Python）,7.5,本科,20k-30k,"平台成熟,带薪年假,餐贴补助,五险一金","['5', '10']","['20', '30']",22.5
北京凯奇谷信息技术股份有限公司,凯奇谷,150-500人,上市公司,朝阳区,游戏研发工程师 （Python）（初级）,2.0,本科,6k-8k,给力的团队 领导好 弹性工作 免费吃喝,"['1', '3']","['6', '8']",6.5
北京云族佳科技有限公司,云沃客,150-500人,A轮,海淀区,python高级工程师-北京,7.5,大专,25k-40k,"绩效奖金,餐饮补贴,五险一金","['5', '10']","['25', '40']",28.75
北京微笑科技有限公司,微笑科技,50-150人,A轮,海淀区,Python 游戏服务端开发,2.0,本科,20k-25k,"五险一金,零食下午茶,中晚住家饭,定期团建","['1', '3']","['20', '25']",21.25
北京聚微合智信息技术有限公司,聚微,50-150人,不需要融资,海淀区,Java/Python（高级）,4.0,大专,20k-30k,"新蓝海,牛人带队,发展空间大,扁平化管理","['3', '5']","['20', '30']",22.5
北京开课吧科技有限公司,开课吧,500-2000人,C轮,海淀区,python讲师（全职、兼职都可）,7.5,本科,25k-45k,"弹性工作制,省外游","['5', '10']","['25', '45']",30.0
北京诸葛找房信息技术有限公司,诸葛找房网,150-500人,B轮,朝阳区,Python架构师,7.5,本科,30k-50k,"六险一金,住房补贴,节日福利,一日三餐","['5', '10']","['30', '50']",35.0
零氪信息技术（北京）有限公司,LinkDoc,500-2000人,D轮及以上,海淀区,高级python后端研发工程师,0.0,本科,26k-52k,"15薪,六险一金,午晚餐补助,弹性不打卡",[],"['26', '52']",32.5
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深DevOps研发工程师（Python/GO）,7.5,本科,20k-35k,"大数据企业,上市公司,年终奖金,带薪年假","['5', '10']","['20', '35']",23.75
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,海淀区,后端Python开发,0.0,本科,10k-15k,"大牛多,免费早晚餐,免费班车,领导好",[],"['10', '15']",11.25
在线途游（北京）科技有限公司,途游,150-500人,B轮,朝阳区,python服务器,4.0,本科,18k-35k,"千万级用户,工作氛围好,年终奖金,各种团","['3', '5']","['18', '35']",22.25
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,高级Python研发工程师（机器学习业务方向）,0.0,本科,20k-40k,"平台大,机会多,待遇好,发展快",[],"['20', '40']",25.0
北京市海淀区八维计算机培训学校,北京八维研修学院,2000人以上,未融资,海淀区,Python项目经理,4.0,大专,20k-30k,五险一金，寒假，房补，饭补，节日福利,"['3', '5']","['20', '30']",22.5
北京优思安科技有限公司,积云教育,150-500人,A轮,昌平区,Python高级讲师,4.0,本科,20k-30k,"五险一金,餐补,周末双休,班车接送","['3', '5']","['20', '30']",22.5
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,运维开发工程师（监控系统，go/python）,4.0,本科,18k-35k,"行业前三,年终奖,不打卡,免费三餐","['3', '5']","['18', '35']",22.25
北京造数科技有限公司,造数,15-50人,A轮,朝阳区,Python爬虫工程师,2.0,本科,15k-30k,"技能培训,人工智能,股票期权,团队年轻","['1', '3']","['15', '30']",18.75
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,中高级Python爬虫工程师,4.0,本科,20k-30k,"五险一金,餐补,全勤奖,年终奖金","['3', '5']","['20', '30']",22.5
