公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
福建省创游网络科技有限公司,创游,150-500人,不需要融资,福清市,APP测试工程师,1-3年,大专,5k-8k,"5险一金,组织活动,加班补助,年底双薪"
福州岂微网络科技有限公司,岂微,15-50人,天使轮,鼓楼区,计算机视觉算法工程师,应届毕业生,本科,8k-12k,"前沿应用,博士团队,校园办公,股权激励"
福建弘扬软件股份有限公司,弘扬软件,150-500人,上市公司,仓山区,大数据挖掘工程师,1-3年,本科,10k-20k,"六险一金,节日福利,带薪年假,年终奖"
福州朴朴电子商务有限公司,朴朴,150-500人,A轮,台江区,2019校园招聘-软件开发工程师（前端/后端）,应届毕业生,本科,8k-12k,"股票期权,团队大牛多"
上海虎赞信息科技有限公司,虎赞科技,150-500人,A轮,仓山区,运维开发工程师,1-3年,大专,10K-20K,"入职交五险一金,双休,餐补,年底十三薪，"
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,鼓楼区,软件测试工程师（福州）,应届毕业生,本科,5k-10k,"六险一金,入职培训,过节费,旅游体检"
北京承启通科技有限公司,承启通,150-500人,不需要融资,鼓楼区,数据库管理员,5-10年,大专,10k-20k,"14薪,六险一金,福利多多"
湖南华诺科技有限公司,诺基亚华诺科技,500-2000人,不需要融资,长乐,大数据优化工程师（应届生）,应届毕业生,本科,6k-9k,"高薪酬,高福利,世界500"
福建创昱达信息技术有限公司,创昱达,150-500人,不需要融资,鼓楼区,测试工程师,1-3年,大专,5K-10K,提供五险一金，完善的职业发展规划
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,鼓楼区,高级大数据技术主管,不限,本科,10k-20k,"六险一金,餐补体检等,节日福利,丰厚年终奖"
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,鼓楼区,机器学习/深度学习/算法工程师,不限,本科,10k-15k,"六险一金,餐补体检等,员工旅游,丰厚年终奖"
