公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
福州滴咚网络科技有限公司,滴咚网络,50-150人,不需要融资,闽侯县,AI初级工程师,4.0,本科,8k-12k,"周末双休,五险一金,股票期权","['3', '5']","['8', '12']",9.0
福州市贝芽智能科技有限公司,贝芽智能科技,50-150人,不需要融资,仓山区,PHP研发工程师,4.0,本科,12k-18k,"人工智能,五险一金,股权激励,12+N薪","['3', '5']","['12', '18']",13.5
福州网乐网络科技有限公司,福州网乐网络科技,50-150人,C轮,鼓楼区,高级JAVA工程师,4.0,本科,12k-20k,"薪酬高,福利好,发展空间大,环境好","['3', '5']","['12', '20']",14.0
福州（闽侯）中科数据应用技术研究院,计算所福州分所,150-500人,不需要融资,闽侯县,大数据研发工程师,0.0,本科,6k-8k,"事业单位,科研单位,福利好,五险一金",[],"['6', '8']",6.5
上海虎赞信息科技有限公司,虎赞科技,150-500人,A轮,仓山区,服务端开发工程师,4.0,大专,10k-20k,"五险一金,双休,餐补","['3', '5']","['10', '20']",12.5
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,鼓楼区,大数据后台开发工程师,0.0,本科,8k-13k,"六险一金,餐补体检等,员工旅游,丰厚年终奖",[],"['8', '13']",9.25
福州龙腾简合网络技术有限公司,龙腾简合,500-2000人,未融资,台江区,服务端开发,7.5,大专,20k-30k,项目奖金、年终奖、五险一金、国外游、餐补,"['5', '10']","['20', '30']",22.5
福州三象贸易有限公司,三象贸易,15-50人,不需要融资,仓山区,小程序开发,4.0,本科,8k-12k,汽车后市场万万亿市场,"['3', '5']","['8', '12']",9.0
杭州安恒信息技术股份有限公司,安恒信息,500-2000人,D轮及以上,晋安区,安全服务工程师（福州）,2.0,大专,8k-16k,"五险一金,带薪年假,节假日福利,国内外旅游","['1', '3']","['8', '16']",10.0
福建帝视信息科技有限公司,帝视科技,15-50人,A轮,鼓楼区,深度学习算法工程师,2.0,硕士,18k-35k,"平台广,技术牛人多","['1', '3']","['18', '35']",22.25
北京推想科技有限公司,推想科技,150-500人,B轮,鼓楼区,实施工程师（福州） (MJ000106),0.0,大专,5k-10k,"人工智能,五险一金,试用期全薪,饭补",[],"['5', '10']",6.25
北京承启通科技有限公司,承启通,150-500人,不需要融资,鼓楼区,大数据工程师,4.0,大专,10k-20k,"14薪,六险一金,福利多多","['3', '5']","['10', '20']",12.5
北京东方国信科技股份有限公司,东方国信,2000人以上,上市公司,鼓楼区,数据开发（YDzjw）,2.0,本科,5k-10k,"十三薪,年终奖,年度体检,节日福利","['1', '3']","['5', '10']",6.25
福建字客网络科技有限公司,字客网,少于15人,未融资,鼓楼区,深度学习开发工程师,2.0,本科,10k-20k,"行业高薪,精英团队,前沿技术","['1', '3']","['10', '20']",12.5
福州滴咚网络科技有限公司,滴咚网络,50-150人,不需要融资,闽侯县,人才科学研究员,7.5,博士,30k-50k,"股权,最高18薪,合伙人","['5', '10']","['30', '50']",35.0
福建省创游网络科技有限公司,创游,150-500人,不需要融资,福清市,APP测试工程师,2.0,大专,5k-8k,"5险一金,组织活动,加班补助,年底双薪","['1', '3']","['5', '8']",5.75
福州岂微网络科技有限公司,岂微,15-50人,天使轮,鼓楼区,计算机视觉算法工程师,0.0,本科,8k-12k,"前沿应用,博士团队,校园办公,股权激励",[],"['8', '12']",9.0
福建弘扬软件股份有限公司,弘扬软件,150-500人,上市公司,仓山区,大数据挖掘工程师,2.0,本科,10k-20k,"六险一金,节日福利,带薪年假,年终奖","['1', '3']","['10', '20']",12.5
福州朴朴电子商务有限公司,朴朴,150-500人,A轮,台江区,2019校园招聘-软件开发工程师（前端/后端）,0.0,本科,8k-12k,"股票期权,团队大牛多",[],"['8', '12']",9.0
上海虎赞信息科技有限公司,虎赞科技,150-500人,A轮,仓山区,运维开发工程师,2.0,大专,10K-20K,"入职交五险一金,双休,餐补,年底十三薪，","['1', '3']","['10', '20']",12.5
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,鼓楼区,软件测试工程师（福州）,0.0,本科,5k-10k,"六险一金,入职培训,过节费,旅游体检",[],"['5', '10']",6.25
北京承启通科技有限公司,承启通,150-500人,不需要融资,鼓楼区,数据库管理员,7.5,大专,10k-20k,"14薪,六险一金,福利多多","['5', '10']","['10', '20']",12.5
湖南华诺科技有限公司,诺基亚华诺科技,500-2000人,不需要融资,长乐,大数据优化工程师（应届生）,0.0,本科,6k-9k,"高薪酬,高福利,世界500",[],"['6', '9']",6.75
福建创昱达信息技术有限公司,创昱达,150-500人,不需要融资,鼓楼区,测试工程师,2.0,大专,5K-10K,提供五险一金，完善的职业发展规划,"['1', '3']","['5', '10']",6.25
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,鼓楼区,高级大数据技术主管,0.0,本科,10k-20k,"六险一金,餐补体检等,节日福利,丰厚年终奖",[],"['10', '20']",12.5
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,鼓楼区,机器学习/深度学习/算法工程师,0.0,本科,10k-15k,"六险一金,餐补体检等,员工旅游,丰厚年终奖",[],"['10', '15']",11.25
